Record_Type,Controlled_ID,Title,Statement,Parent_IDs,Owner_Role,Priority,Configuration_Rule,Readiness_State,Validation_Method,Expected_Result,Traceability_Targets,Assumptions,Status,Notes,Exercise_Boundary
REQ,REQ-005,Allowed transitions and blocker details,"Enforce allowed state transitions and require blocker owner, reason, next action, and next-update label.",NEED-004,Fulfiller,High,State-transition and blocker matrix,ReadyForSyntheticUAT,UAT-005,Invalid transitions are rejected and blocker metadata is complete.,ACC-006;UAT-005,Eight states cover the bounded lifecycle.,VerifiedInSyntheticUAT,No real workflow engine exists.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
REQ,REQ-006,Status and escalation record,"Require a complete simulated communication record for clarification, Blocked, owner change, material completion-window change, AwaitingRequesterValidation, and closure.",NEED-001;NEED-004,Request Coordinator,Medium,Communication triggers: clarification; Blocked; accountable owner change; material completion-window change; AwaitingRequesterValidation; closure. Fields: audience; reason; accountable owner; next action; relative next-update label,ReadyForSyntheticUAT,UAT-006,"All six modeled triggers retain audience, reason, accountable owner, next action, and relative next-update label; nothing is sent.",ACC-007;UAT-006,A static record is sufficient.,VerifiedInSyntheticUAT,No email or message is transmitted.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
REQ,REQ-007,Requester validation and closure gate,Require explicit synthetic requester validation before closure; rejection returns the request to InProgress.,NEED-005,Requester,High,Requester-validation closure gate,ReadyAfterBoundedCorrection,UAT-007 and passing retest,AwaitingRequesterValidation precedes Closed; rejection returns to work.,ACC-008;ACC-009;UAT-007;DEF-002,The decision is fictional and recorded locally.,VerifiedAfterRetest,No real UAT or acceptance occurred.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
REQ,REQ-008,Support-reference handoff,"Before closure retain requester decision, resolution summary, accountable owner, category, support reference, and relevant handoff note.",NEED-006,Support Analyst,Medium,Closure and handoff fields: requester decision; resolution summary; accountable owner; category; support reference; relevant handoff note,ReadyForSyntheticUAT,UAT-008,The modeled closed request exposes all six retained closure and handoff fields.,ACC-010;UAT-008,Static documentation represents the handoff.,VerifiedInSyntheticUAT,No real service desk or ownership transfer.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-001,Stage-A minimum-field guard,"If any of the five Stage-A minimum fields is absent, direct submission is rejected, the request remains Draft, and it does not enter ClarificationRequested.",REQ-001,Requester,High,Stage A minimum gate: request summary; category; business impact; requested outcome; requester role,Satisfied,UAT-001,An input missing any minimum field remains Draft with a rejected direct submission.,UAT-001,Required fields are predefined.,Satisfied,Negative Stage-A rejection path is evidenced in UAT-001.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-002,Stage-A submission state and reference,"When all five Stage-A minimum fields are present, the request enters Submitted and a synthetic non-PII reference is present.",REQ-001,Request Coordinator,High,Stage A minimum gate: request summary; category; business impact; requested outcome; requester role,Satisfied,UAT-001,State is Submitted and a fictional non-PII reference is present.,UAT-001,Reference contains no PII.,Satisfied,Complete Stage-A submission and synthetic reference are evidenced in UAT-001.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-003,Stage-B clarification and recalculation,"A Submitted request with insufficient conditional detail enters ClarificationRequested; after the Requester supplies the missing detail, completeness is recalculated and the request can return to Submitted.",REQ-002,Request Coordinator,High,Stage B completeness: urgency; requested-by relative window; category-specific detail; supporting context or constraints,SatisfiedAfterRetest,UAT-002,Reporting-period and exception-filter details are recalculated on resubmission; the stale ClarificationRequested result is not reused.,UAT-002;DEF-001,All Stage-A minimum fields remain present.,SatisfiedAfterRetest,Initial fail resolved by bounded correction.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-004,Deterministic category priority and route,Apply all four exact category routes and fixed Critical-to-Low precedence twice to the representative request.,REQ-003,Request Coordinator,High,"Category routes: Access or permission->Access/Permissions; Application or workflow issue->Application/Workflow; Data or reporting request->Data/Reporting; General service request->General Service. Priority precedence: Evaluate Critical, then High, then Medium, then Low; the first satisfied level controls.",Satisfied,UAT-003,"Critical=No, High=No, Medium=Yes; Medium is the first satisfied level and both evaluations route to Data/Reporting.",UAT-003,The same fictional inputs are reused for both evaluations.,Satisfied,"Priority judgment, route mapping, and repeatability are evidenced in UAT-003.",SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-005,Accountable owner and reassignment,"Until a matching Fulfiller is available, the request remains Submitted and the Request Coordinator retains coordination. Once assigned, exactly one Fulfiller is accountable. Reassignment requires a reason and leaves exactly one current accountable Fulfiller.",REQ-004,Request Coordinator,High,"Assignment lifecycle: Until a matching Fulfiller is available, the request remains Submitted and the Request Coordinator retains coordination. Once assigned, exactly one Fulfiller is accountable. Reassignment requires a reason and leaves exactly one current accountable Fulfiller.",Satisfied,UAT-004,"No-match fallback, matching assignment, and reasoned reassignment each produce the expected state and ownership count.",UAT-004,The no-match and reassignment conditions are synthetic.,Satisfied,"Coordinator fallback, skill match, and reasoned reassignment are evidenced in UAT-004.",SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-006,Transition and blocker controls,"Invalid transitions are rejected; blockers require owner, reason, next action, and next-update label.",REQ-005,Fulfiller,High,State-transition and blocker matrix,Satisfied,UAT-005,Only allowed transitions proceed and blocker metadata is complete.,UAT-005,Eight-state model is sufficient.,Satisfied,Valid-path transition and complete Blocked metadata are evidenced in UAT-005.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-007,Complete simulated communication record,"Each clarification, Blocked, owner-change, window-change, validation-entry, or closure trigger has a static communication record containing audience, reason, accountable owner, next action, and relative next-update label; nothing is sent.",REQ-006,Request Coordinator,Medium,Communication triggers and five required fields in the scenario brief,Satisfied,UAT-006,"ClarificationRequested, Blocked, owner change, window change, AwaitingRequesterValidation, and closure each retain all five fields; nothing is sent.",UAT-006,No transmission is required or allowed.,Satisfied,All six triggers and all five fields are evidenced in UAT-006.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-008,Validation state before closure,Modeled fulfillment enters AwaitingRequesterValidation rather than Closed.,REQ-007,Requester,High,Requester-validation closure gate,SatisfiedAfterRetest,UAT-007,Closure remains blocked without a decision.,UAT-007;DEF-002,Requester decision is fictional.,SatisfiedAfterRetest,Initial fail resolved by bounded correction.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-009,Accept or return for rework,Synthetic rejection returns the request to InProgress; acceptance permits Closed.,REQ-007,Requester,High,Requester-validation closure gate,SatisfiedAfterRetest,UAT-007,Both decision paths follow the allowed transition.,UAT-007;DEF-002,Decision is recorded locally.,SatisfiedAfterRetest,"Requester rejection, rework, renewed validation, acceptance, and closure are evidenced in UAT-007.",SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
ACC,ACC-010,Support context retained,"Closure retains requester decision, resolution summary, accountable owner, category, support reference, and relevant handoff note.",REQ-008,Support Analyst,Medium,Closure and handoff fields: requester decision; resolution summary; accountable owner; category; support reference; relevant handoff note,Satisfied,UAT-008,"Requester decision=Accepted and the exact modeled outcome, owner, category, support reference, and handoff note remain visible.",UAT-008,Static evidence is sufficient.,Satisfied,All six retained closure and handoff fields are evidenced in UAT-008.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
